Sensor_number,X,Y,Z,Year,Month,Day,Hour,Minute,Second,Temperature,Timestamp
1,2024,2,15,0,0,0,2024-02-15 00:00:00,0,0,0,9.0
1,2024,2,15,0,30,0,2024-02-15 00:30:00,0,0,0,10.125
1,2024,2,15,1,0,0,2024-02-15 01:00:00,0,0,0,11.25
1,2024,2,15,1,30,0,2024-02-15 01:30:00,0,0,0,12.375
1,2024,2,15,2,0,0,2024-02-15 02:00:00,0,0,0,13.5
1,2024,2,15,2,30,0,2024-02-15 02:30:00,0,0,0,14.625
1,2024,2,15,3,0,0,2024-02-15 03:00:00,0,0,0,15.75
1,2024,2,15,3,30,0,2024-02-15 03:30:00,0,0,0,16.875
1,2024,2,15,4,0,0,2024-02-15 04:00:00,0,0,0,18.0
1,2024,2,15,4,30,0,2024-02-15 04:30:00,0,0,0,19.125
1,2024,2,15,5,0,0,2024-02-15 05:00:00,0,0,0,20.25
1,2024,2,15,5,30,0,2024-02-15 05:30:00,0,0,0,21.375
1,2024,2,15,6,0,0,2024-02-15 06:00:00,0,0,0,22.5
1,2024,2,15,6,30,0,2024-02-15 06:30:00,0,0,0,23.625
1,2024,2,15,7,0,0,2024-02-15 07:00:00,0,0,0,24.75
1,2024,2,15,7,30,0,2024-02-15 07:30:00,0,0,0,25.875
1,2024,2,15,8,0,0,2024-02-15 08:00:00,0,0,0,50.0
1,2024,2,15,8,30,0,2024-02-15 08:30:00,0,0,0,51.375
1,2024,2,15,9,0,0,2024-02-15 09:00:00,0,0,0,52.75
1,2024,2,15,9,30,0,2024-02-15 09:30:00,0,0,0,54.125
1,2024,2,15,10,0,0,2024-02-15 10:00:00,0,0,0,55.5
1,2024,2,15,10,30,0,2024-02-15 10:30:00,0,0,0,56.875
1,2024,2,15,11,0,0,2024-02-15 11:00:00,0,0,0,58.25
1,2024,2,15,11,30,0,2024-02-15 11:30:00,0,0,0,59.625
1,2024,2,15,12,0,0,2024-02-15 12:00:00,0,0,0,12.0
1,2024,2,15,12,30,0,2024-02-15 12:30:00,0,0,0,10.875
1,2024,2,15,13,0,0,2024-02-15 13:00:00,0,0,0,9.75
1,2024,2,15,13,30,0,2024-02-15 13:30:00,0,0,0,8.625
1,2024,2,15,14,0,0,2024-02-15 14:00:00,0,0,0,7.5
1,2024,2,15,14,30,0,2024-02-15 14:30:00,0,0,0,6.375
1,2024,2,15,15,0,0,2024-02-15 15:00:00,0,0,0,5.25
1,2024,2,15,15,30,0,2024-02-15 15:30:00,0,0,0,4.125
1,2024,2,15,16,0,0,2024-02-15 16:00:00,0,0,0,3.0
1,2024,2,15,16,30,0,2024-02-15 16:30:00,0,0,0,1.875
1,2024,2,15,17,0,0,2024-02-15 17:00:00,0,0,0,0.75
1,2024,2,15,17,30,0,2024-02-15 17:30:00,0,0,0,-0.375
1,2024,2,15,18,0,0,2024-02-15 18:00:00,0,0,0,-1.5
1,2024,2,15,18,30,0,2024-02-15 18:30:00,0,0,0,-2.625
1,2024,2,15,19,0,0,2024-02-15 19:00:00,0,0,0,-3.75
1,2024,2,15,19,30,0,2024-02-15 19:30:00,0,0,0,-4.875
1,2024,2,15,20,0,0,2024-02-15 20:00:00,0,0,0,-6.0
1,2024,2,15,20,30,0,2024-02-15 20:30:00,0,0,0,-7.125
1,2024,2,15,21,0,0,2024-02-15 21:00:00,0,0,0,-8.25
1,2024,2,15,21,30,0,2024-02-15 21:30:00,0,0,0,-9.375
1,2024,2,15,22,0,0,2024-02-15 22:00:00,0,0,0,-10.5
1,2024,2,15,22,30,0,2024-02-15 22:30:00,0,0,0,-11.625
1,2024,2,15,23,0,0,2024-02-15 23:00:00,0,0,0,-12.75
1,2024,2,15,23,30,0,2024-02-15 23:30:00,0,0,0,-13.875
1,2024,2,16,0,0,0,2024-02-16 00:00:00,0,0,0,25.0
1,2024,2,16,0,30,0,2024-02-16 00:30:00,0,0,0,25.3125
1,2024,2,16,1,0,0,2024-02-16 01:00:00,0,0,0,25.625
1,2024,2,16,1,30,0,2024-02-16 01:30:00,0,0,0,25.9375
1,2024,2,16,2,0,0,2024-02-16 02:00:00,0,0,0,26.25
1,2024,2,16,2,30,0,2024-02-16 02:30:00,0,0,0,26.5625
1,2024,2,16,3,0,0,2024-02-16 03:00:00,0,0,0,26.875
1,2024,2,16,3,30,0,2024-02-16 03:30:00,0,0,0,27.1875
1,2024,2,16,4,0,0,2024-02-16 04:00:00,0,0,0,27.5
1,2024,2,16,4,30,0,2024-02-16 04:30:00,0,0,0,27.8125
1,2024,2,16,5,0,0,2024-02-16 05:00:00,0,0,0,28.125
1,2024,2,16,5,30,0,2024-02-16 05:30:00,0,0,0,28.4375
1,2024,2,16,6,0,0,2024-02-16 06:00:00,0,0,0,28.75
1,2024,2,16,6,30,0,2024-02-16 06:30:00,0,0,0,29.0625
1,2024,2,16,7,0,0,2024-02-16 07:00:00,0,0,0,29.375
1,2024,2,16,7,30,0,2024-02-16 07:30:00,0,0,0,29.6875
1,2024,2,16,8,0,0,2024-02-16 08:00:00,0,0,0,79.0
1,2024,2,16,8,30,0,2024-02-16 08:30:00,0,0,0,82.125
1,2024,2,16,9,0,0,2024-02-16 09:00:00,0,0,0,85.25
1,2024,2,16,9,30,0,2024-02-16 09:30:00,0,0,0,88.375
1,2024,2,16,10,0,0,2024-02-16 10:00:00,0,0,0,91.5
1,2024,2,16,10,30,0,2024-02-16 10:30:00,0,0,0,94.625
